Deck	Title	Game Text	Flavor Text	Qty	Set
Principles	Principle of the Blank Slate	END PHASE: Bury your hand. Draw 4 cards.	You not only don't remember who you were or where you came from, you seem unable to keep a fix in your mind on who you are now.	1	Disparation
Principles	Principle of Compassion	When your Hero character would deal damage to a target other than themself, you may have that target regain 2 HP instead. After your Hero character deals damage to a taret other than themself, they deal themself 1 fixed psychic damage.	You care greatly for those around you, feeling their suffering as suffering of your own. You do what you can to alleviate those pains for others.	1	Disparation
Principles	Principle of Crime	Environment cards cannot be played from your hand.  START PHASE: Draw the top card of the Environment deck. If that card is a target, bury it, then your Hero character deals themself 1 fixed sonic damage.  END PHASE: Either draw 1 card, or discard 2 cards and discover 1 card that shares a keyword with both discarded cards.	Some call you a hero, but you're actually a criminal, possibly misunderstood or using heroism to cover up your dasterdly deeds. You might be doing it for a good reason! Maybe not.	1	Disparation
Principles	Principle of the Defender	REACTION: Prevent the damage that would be dealt.  END PHASE: Select 1 ally. Until your START PHASE, redirect any damage that would be dealt to that ally to this Hero character.	Defending others is your calling. You put yourself in harm's way to defend others without a second thought, making yourself more of a target to defend those in need.	1	Disparation
Principles	Principle of Equality	START PHASE: Your Hero character deals themself 2 fixed psychic damage. The 2 Hero characters with the lowest HP regain 1 HP each.  END PHASE: You may destroy 1 of your Item or Ongoing cards. If you do, the ally Hero with the fewest cards in hand may draw 1 card and the ally Hero with the fewest cards in play may play 1 card.	You have a keen sense of social status and can spot any situation where people are treated unfairly.	1	Disparation
Principles	Principle of Fire	Change all types of damage in game text on your other cards to fire damage.  END PHASE: Either your Hero character deals themself 2 fixed psychic damage, or discard 1, 2, or 3 cards. Your Hero character deals 1 target X fire damage, where X is the number of cards discarded this way times 2.	You are attuned to flames -- they are a part of you, and their warmth is the only thing that makes you feel alive.	1	Disparation
Principles	Principle of Flora and Fauna	Whenever an Environment target would deal damage, you may discard 1 card. If you do, redirect that damage.  END PHASE: Reveal the top card of the Environment deck. If it is not a target, your Hero character deals themself 2 fixed toxic damage, and either replace or discard the revealed card. Otherwise, play it and draw 1 card.	You are at one with nature, considering the natural world and its inhabitants the best part of this world.	1	Disparation
Principles	Principle of the Gearhead	Your Ongoing cards gain the keyword "Item". Your non-character target cards gain the keyword "Device".  END PHASE: Either discard 2 cards or destroy 1 of your Item or non-Character Device cards. Play or discover 1 Item or Device card.	Technology is your thing. You like making stuff, experimenting with devices, tinkering with gadgets -- one way or another, you're into tech.	1	Disparation
Principles	Principle of Guidance	END PHASE: If you have 2 or more cards in hand, you and one other Hero each discard 1 or more cards. Reveal the top X cards of that Hero's deck, where X is the number of cards discarded this way, Discard all but 1 of the revealed cards. Play the remaining card.	It is important to you to share your knowledge and experience with less-weathered heroes. Everyone grants you some measure of respect for your wisdom.	1	Disparation
Principles	Principle of Honor	During your turn, Hero characters cannot deal damage to non-Hero targets. REACTION: Either play 1 card or use 1 power.	You live your life by a strict code of conduct. You will not compromise your honor, even in the face of great adversity.	1	Disparation
Principles	Principle of Inner Demons	END PHASE: Reveal the top card of your deck. If it is a One-Shot card, your Hero character deals themself 2 fixed infernal damage; otherwise destroy 1 of your non-character cards. Either way, play the revealed card.	You have a darkness in you that you strive to keep suppressed. You can reach out to your dark side to connect with similar forces.	1	Disparation
