Hero	Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set
Absolute Zero	Absolute Zero	Cold Snap	-	One-Shot	Absolute Zero deals himself 3 fire damage. Absolute Zero deals each non-Hero target 1 cold damage.	"Looks like you should have flown south for the winter!"	Absolute Zero, Freedom Five #100	2	Core Game
Absolute Zero	Absolute Zero	Conductive Installation	-	One-Shot	Draw 1 card. Collect 1 Item card. You may play 1 card.	"It's a nice change of pace to not be slamming this thing together in a rush."	Absolute Zero, Freedom Five Annual #8	4	Core Game
Absolute Zero	Absolute Zero	Coolant Blast	-	Ongoing, Limited	POWER: Absolute Zero deals 1 non-Hero target X cold damage, where X is the amount of fire damage dealt to Absolute Zero this turn.	"Once in a while, you just gotta improvise!"	Absolute Zero, The Ice-Man Cometh #3	2	Core Game
Absolute Zero	Absolute Zero	Cryo-Field Projector	-	Item, Limited	+1 to cold damage dealt to Absolute Zero. -1 to fire damage dealt to Absolute Zero. START PHASE Absolute Zero deals himself 3 fixed fire damage. Destroy this card.	"It's not quite home frigid home, but it'll do in a pinch."	Absolute Zero, Justice Comics #597	2	Core Game
Absolute Zero	Absolute Zero	Desperate Deployment	-	One-Shot	Summon 1 Item card. Absolute Zero deals himself 1 fire damage and 1 cold damage.	"You are incomplete. Feeble without your suit. In chasing your humanity, you have lost your identity."	Schema, Freedom Five #640	4	Core Game
Absolute Zero	Absolute Zero	Focused Apertures	-	Item, Limited	+1 to cold damage dealt by Absolute Zero.	"I was hesitant when you said 'new and improved', but I can appreciate this level of precision."	Bunker, Freedom Five Annual #13	2	Core Game
Absolute Zero	Absolute Zero	Frost-Bound Drain	-	One-Shot	Absolute Zero deals 1 non-Hero target 3 cold damage. Absolute Zero deals himself 3 fire damage.	"Too cold? Welcome to my life."	Absolute Zero, The Ice-Man Cometh #6	2	Core Game
Absolute Zero	Absolute Zero	Fueled Freeze	-	One-Shot	Destroy up to 3 Ongoing cards. Absolute Zero deals X targets 3 cold damage, where X is the number of Ongoing cards destroyed by this card.	"I'm genuinely having a bad time here. Just trying to spread the misery around."	Absolute Zero, Freedom Five #249	2	Core Game
Absolute Zero	Absolute Zero	High-Yield Coolant Tanks	-	Item, Limited	END PHASE Either use 1 power or draw 1 card.	"This new super-chilled coolant will cut your upper temperature ceiling by about a hundred degrees!"	Tachyon, Science & Progress One-Shot	2	Core Game
Absolute Zero	Absolute Zero	Hoarfire	-	One-Shot	Absolute Zero deals 1 target 2 cold damage. Absolute Zero deals 1 different target 2 fire damage. Absolute Zero deals himself 1 cold damage and 1 fire damage.	"Yeah, it's too damn hot, but it's a change of pace from being cold all the time. This'll eventually kill me, but I'm not going alone!"	Absolute Zero, Tome of the Bizarre Vol. 3 #13	3	Core Game
